Waiting for sweep ID...
Found Sweep ID: be12np04
Starting wandb agent for sweep be12np04...
TRAINING DEVICE: cpu
Run Name: GCN_global_hp_sweep_be12np04-fj721bo8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 18.3198, Validation Loss: 13.1186
Epoch 2/1000, Train Loss: 1.5878, Validation Loss: 2.1906
Epoch 3/1000, Train Loss: 1.2388, Validation Loss: 1.6182
Epoch 4/1000, Train Loss: 1.1826, Validation Loss: 3.3671
Epoch 5/1000, Train Loss: 1.1343, Validation Loss: 1.6645
Epoch 6/1000, Train Loss: 1.0517, Validation Loss: 2.4199
Epoch 7/1000, Train Loss: 1.0674, Validation Loss: 2.8241
Epoch 8/1000, Train Loss: 1.0301, Validation Loss: 1.7135
Epoch 9/1000, Train Loss: 1.0325, Validation Loss: 1.2001
Epoch 10/1000, Train Loss: 1.0361, Validation Loss: 1.3101
Epoch 11/1000, Train Loss: 1.0402, Validation Loss: 1.2278
Epoch 12/1000, Train Loss: 1.0618, Validation Loss: 1.2842
Epoch 13/1000, Train Loss: 0.9323, Validation Loss: 3.5339
Epoch 14/1000, Train Loss: 0.9401, Validation Loss: 10.2793
Epoch 15/1000, Train Loss: 0.9739, Validation Loss: 3.3181
Epoch 16/1000, Train Loss: 0.9730, Validation Loss: 1.3168
Epoch 17/1000, Train Loss: 0.9809, Validation Loss: 0.9534
Epoch 18/1000, Train Loss: 1.0095, Validation Loss: 9.6411
Epoch 19/1000, Train Loss: 0.9759, Validation Loss: 5.1432
Epoch 20/1000, Train Loss: 0.9672, Validation Loss: 0.9048
Epoch 21/1000, Train Loss: 1.1143, Validation Loss: 8.3815
Epoch 22/1000, Train Loss: 1.4190, Validation Loss: 3.9139
Epoch 23/1000, Train Loss: 0.9672, Validation Loss: 1.0982
Epoch 24/1000, Train Loss: 0.9696, Validation Loss: 1.2427
Epoch 25/1000, Train Loss: 0.9428, Validation Loss: 6.1534
Epoch 26/1000, Train Loss: 0.9344, Validation Loss: 1.7588
Epoch 27/1000, Train Loss: 0.9789, Validation Loss: 3.0108
Epoch 28/1000, Train Loss: 1.0245, Validation Loss: 4.3369
Epoch 29/1000, Train Loss: 0.9910, Validation Loss: 1.3956
Epoch 30/1000, Train Loss: 0.9350, Validation Loss: 0.8144
Epoch 31/1000, Train Loss: 0.9303, Validation Loss: 1.2279
Epoch 32/1000, Train Loss: 0.9285, Validation Loss: 1.5013
Epoch 33/1000, Train Loss: 1.6534, Validation Loss: 2.2776
Epoch 34/1000, Train Loss: 0.9128, Validation Loss: 1.5053
Epoch 35/1000, Train Loss: 0.9120, Validation Loss: 3.4684
Epoch 36/1000, Train Loss: 0.8943, Validation Loss: 1.2595
Epoch 37/1000, Train Loss: 0.8718, Validation Loss: 0.8442
Epoch 38/1000, Train Loss: 6.7858, Validation Loss: 1.5320
Epoch 39/1000, Train Loss: 0.9106, Validation Loss: 1.4121
Epoch 40/1000, Train Loss: 0.8021, Validation Loss: 0.9440
Epoch 41/1000, Train Loss: 0.8666, Validation Loss: 1.1478
Epoch 42/1000, Train Loss: 0.8092, Validation Loss: 2.0981
Epoch 43/1000, Train Loss: 0.9467, Validation Loss: 1.8937
Epoch 44/1000, Train Loss: 0.8226, Validation Loss: 5.7988
Epoch 45/1000, Train Loss: 0.8058, Validation Loss: 1.9105
Epoch 46/1000, Train Loss: 0.7903, Validation Loss: 1.8791
Epoch 47/1000, Train Loss: 0.8146, Validation Loss: 0.9349
Epoch 48/1000, Train Loss: 0.8062, Validation Loss: 1.6374
Epoch 49/1000, Train Loss: 0.8472, Validation Loss: 1.7690
Epoch 50/1000, Train Loss: 0.7346, Validation Loss: 4.3680
Epoch 51/1000, Train Loss: 2.7046, Validation Loss: 1.7378
Epoch 52/1000, Train Loss: 0.8196, Validation Loss: 1.7000
Epoch 53/1000, Train Loss: 0.7406, Validation Loss: 3.9142
Epoch 54/1000, Train Loss: 0.7462, Validation Loss: 1.5640
Epoch 55/1000, Train Loss: 0.7166, Validation Loss: 1.4576
Epoch 56/1000, Train Loss: 0.7514, Validation Loss: 2.6038
Epoch 57/1000, Train Loss: 0.7061, Validation Loss: 2.6866
Epoch 58/1000, Train Loss: 0.7342, Validation Loss: 0.9054
Epoch 59/1000, Train Loss: 0.7346, Validation Loss: 0.9439
Epoch 60/1000, Train Loss: 0.7131, Validation Loss: 2.5073
Epoch 61/1000, Train Loss: 0.7098, Validation Loss: 1.9385
Epoch 62/1000, Train Loss: 0.6872, Validation Loss: 1.2587
Epoch 63/1000, Train Loss: 10.7616, Validation Loss: 6.2049
Epoch 64/1000, Train Loss: 6.1839, Validation Loss: 4.6495
Epoch 65/1000, Train Loss: 2.1174, Validation Loss: 1.3237
Epoch 66/1000, Train Loss: 0.9902, Validation Loss: 2.2931
Epoch 67/1000, Train Loss: 0.8753, Validation Loss: 1.3264
Epoch 68/1000, Train Loss: 0.8099, Validation Loss: 0.9744
Epoch 69/1000, Train Loss: 0.8249, Validation Loss: 3.1592
Epoch 70/1000, Train Loss: 0.8134, Validation Loss: 3.0854
Epoch 71/1000, Train Loss: 0.7410, Validation Loss: 1.5574
Epoch 72/1000, Train Loss: 0.7269, Validation Loss: 4.5724
Epoch 73/1000, Train Loss: 0.7792, Validation Loss: 2.0131
Epoch 74/1000, Train Loss: 0.7942, Validation Loss: 1.7740
Epoch 75/1000, Train Loss: 0.7492, Validation Loss: 1.5951
Epoch 76/1000, Train Loss: 0.7625, Validation Loss: 1.6500
Epoch 77/1000, Train Loss: 0.7285, Validation Loss: 6.0727
Epoch 78/1000, Train Loss: 0.7248, Validation Loss: 1.6675
Epoch 79/1000, Train Loss: 2.4972, Validation Loss: 2.3352
Epoch 80/1000, Train Loss: 0.8202, Validation Loss: 3.7390
Epoch 81/1000, Train Loss: 0.7003, Validation Loss: 2.0050
Epoch 82/1000, Train Loss: 0.7037, Validation Loss: 2.3024
Epoch 83/1000, Train Loss: 0.7014, Validation Loss: 1.0954
Epoch 84/1000, Train Loss: 0.7252, Validation Loss: 1.3610
Epoch 85/1000, Train Loss: 31.2935, Validation Loss: 0.7891
Epoch 86/1000, Train Loss: 0.7770, Validation Loss: 0.8680
Epoch 87/1000, Train Loss: 0.7681, Validation Loss: 3.4649
Epoch 88/1000, Train Loss: 0.7079, Validation Loss: 1.0430
Epoch 89/1000, Train Loss: 0.7509, Validation Loss: 1.5728
Epoch 90/1000, Train Loss: 0.6973, Validation Loss: 1.0611
Epoch 91/1000, Train Loss: 0.7003, Validation Loss: 1.0792
Epoch 92/1000, Train Loss: 0.7199, Validation Loss: 1.1138
Epoch 93/1000, Train Loss: 3.1579, Validation Loss: 6.5003
Epoch 94/1000, Train Loss: 102.5806, Validation Loss: 4.2249
Epoch 95/1000, Train Loss: 0.7417, Validation Loss: 1.0905
Epoch 96/1000, Train Loss: 0.7221, Validation Loss: 0.9349
Epoch 97/1000, Train Loss: 0.6997, Validation Loss: 0.9559
Epoch 98/1000, Train Loss: 0.6873, Validation Loss: 0.9708
Epoch 99/1000, Train Loss: 0.6809, Validation Loss: 6.2245
Epoch 100/1000, Train Loss: 0.7081, Validation Loss: 0.9640
Epoch 101/1000, Train Loss: 0.6940, Validation Loss: 1.9455
Epoch 102/1000, Train Loss: 0.6949, Validation Loss: 5.4564
Epoch 103/1000, Train Loss: 0.6785, Validation Loss: 3.7896
Epoch 104/1000, Train Loss: 0.7114, Validation Loss: 4.7748
Epoch 105/1000, Train Loss: 0.7590, Validation Loss: 12.5387
Epoch 106/1000, Train Loss: 0.8717, Validation Loss: 2.8628
Epoch 107/1000, Train Loss: 0.7345, Validation Loss: 2.2976
Epoch 108/1000, Train Loss: 0.7003, Validation Loss: 1.5037
Epoch 109/1000, Train Loss: 0.7373, Validation Loss: 0.8837
Epoch 110/1000, Train Loss: 0.6630, Validation Loss: 1.7964
Epoch 111/1000, Train Loss: 0.6668, Validation Loss: 1.3366
Epoch 112/1000, Train Loss: 0.6614, Validation Loss: 1.5572
Epoch 113/1000, Train Loss: 0.6583, Validation Loss: 2.2893
Epoch 114/1000, Train Loss: 0.6398, Validation Loss: 2.2528
Epoch 115/1000, Train Loss: 2036.0991, Validation Loss: 19.7217
Epoch 116/1000, Train Loss: 27.8710, Validation Loss: 5.1087
Epoch 117/1000, Train Loss: 0.7092, Validation Loss: 4.8724
Epoch 118/1000, Train Loss: 0.7467, Validation Loss: 3.8887
Epoch 119/1000, Train Loss: 0.7313, Validation Loss: 1.4173
Epoch 120/1000, Train Loss: 0.6498, Validation Loss: 1.6642
Epoch 121/1000, Train Loss: 0.6833, Validation Loss: 2.0519
Epoch 122/1000, Train Loss: 0.6538, Validation Loss: 1.2715
