Waiting for sweep ID...
Found Sweep ID: o2yj2zlq
Starting wandb agent for sweep o2yj2zlq...
TRAINING DEVICE: cpu
Run Name: GCN_sag_hp_sweep_sag_o2yj2zlq-l4zzfz66
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.0103, Validation Loss: 1.7557
Epoch 2/1000, Train Loss: 1.5483, Validation Loss: 1.3921
Epoch 3/1000, Train Loss: 1.5702, Validation Loss: 1.5522
Epoch 4/1000, Train Loss: 1.3487, Validation Loss: 1.2180
Epoch 5/1000, Train Loss: 1.4025, Validation Loss: 1.3957
Epoch 6/1000, Train Loss: 1.2481, Validation Loss: 1.4383
Epoch 7/1000, Train Loss: 1.2058, Validation Loss: 1.1466
Epoch 8/1000, Train Loss: 1.0621, Validation Loss: 3.4929
Epoch 9/1000, Train Loss: 1.1977, Validation Loss: 3.1604
Epoch 10/1000, Train Loss: 1.1970, Validation Loss: 1.7816
Epoch 11/1000, Train Loss: 1.2036, Validation Loss: 1.7384
Epoch 12/1000, Train Loss: 1.0007, Validation Loss: 1.1080
Epoch 13/1000, Train Loss: 1.0581, Validation Loss: 1.3525
Epoch 14/1000, Train Loss: 1.0200, Validation Loss: 1.6285
Epoch 15/1000, Train Loss: 1.0612, Validation Loss: 0.9051
Epoch 16/1000, Train Loss: 0.9835, Validation Loss: 2.3335
Epoch 17/1000, Train Loss: 0.9961, Validation Loss: 1.2690
Epoch 18/1000, Train Loss: 0.9765, Validation Loss: 1.1471
Epoch 19/1000, Train Loss: 1.0199, Validation Loss: 1.1862
Epoch 20/1000, Train Loss: 1.0885, Validation Loss: 2.5403
Epoch 21/1000, Train Loss: 0.9871, Validation Loss: 1.0970
Epoch 22/1000, Train Loss: 0.9930, Validation Loss: 1.8110
Epoch 23/1000, Train Loss: 0.9060, Validation Loss: 2.5905
Epoch 24/1000, Train Loss: 1.0471, Validation Loss: 2.1655
Epoch 25/1000, Train Loss: 1.0261, Validation Loss: 1.1759
Epoch 26/1000, Train Loss: 0.8790, Validation Loss: 0.9507
Epoch 27/1000, Train Loss: 1.0145, Validation Loss: 2.1180
Epoch 28/1000, Train Loss: 0.9625, Validation Loss: 0.8445
Epoch 29/1000, Train Loss: 0.9039, Validation Loss: 0.8817
Epoch 30/1000, Train Loss: 0.9171, Validation Loss: 1.2819
Epoch 31/1000, Train Loss: 0.9105, Validation Loss: 1.2124
Epoch 32/1000, Train Loss: 0.8118, Validation Loss: 1.8096
Epoch 33/1000, Train Loss: 0.7779, Validation Loss: 1.3817
Epoch 34/1000, Train Loss: 0.7833, Validation Loss: 0.8086
Epoch 35/1000, Train Loss: 0.9919, Validation Loss: 1.7299
Epoch 36/1000, Train Loss: 1.0005, Validation Loss: 1.3357
Epoch 37/1000, Train Loss: 0.9261, Validation Loss: 0.9557
Epoch 38/1000, Train Loss: 0.8709, Validation Loss: 3.6116
Epoch 39/1000, Train Loss: 0.9342, Validation Loss: 1.1258
Epoch 40/1000, Train Loss: 0.9267, Validation Loss: 1.3950
Epoch 41/1000, Train Loss: 0.9271, Validation Loss: 0.9481
Epoch 42/1000, Train Loss: 0.9116, Validation Loss: 1.0865
Epoch 43/1000, Train Loss: 0.9208, Validation Loss: 0.9033
Epoch 44/1000, Train Loss: 0.9547, Validation Loss: 0.8898
Epoch 45/1000, Train Loss: 0.8694, Validation Loss: 1.0469
Epoch 46/1000, Train Loss: 0.8499, Validation Loss: 0.8935
Epoch 47/1000, Train Loss: 0.8536, Validation Loss: 3.0757
Epoch 48/1000, Train Loss: 0.9203, Validation Loss: 1.5089
Epoch 49/1000, Train Loss: 0.8903, Validation Loss: 1.3733
Epoch 50/1000, Train Loss: 0.8803, Validation Loss: 2.0492
Epoch 51/1000, Train Loss: 0.8573, Validation Loss: 0.9116
Epoch 52/1000, Train Loss: 0.8441, Validation Loss: 1.6020
Epoch 53/1000, Train Loss: 0.8408, Validation Loss: 0.9094
Epoch 54/1000, Train Loss: 0.8358, Validation Loss: 1.0529
Epoch 55/1000, Train Loss: 0.8177, Validation Loss: 2.1955
Epoch 56/1000, Train Loss: 0.8465, Validation Loss: 0.9500
Epoch 57/1000, Train Loss: 0.8117, Validation Loss: 1.3921
Epoch 58/1000, Train Loss: 0.8458, Validation Loss: 1.4682
Epoch 59/1000, Train Loss: 0.8014, Validation Loss: 1.2381
Epoch 60/1000, Train Loss: 0.8122, Validation Loss: 0.7646
Epoch 61/1000, Train Loss: 0.8137, Validation Loss: 1.0854
Epoch 62/1000, Train Loss: 0.8250, Validation Loss: 1.5212
Epoch 63/1000, Train Loss: 0.8189, Validation Loss: 0.7300
Epoch 64/1000, Train Loss: 0.8314, Validation Loss: 0.8737
Epoch 65/1000, Train Loss: 0.7389, Validation Loss: 1.1239
Epoch 66/1000, Train Loss: 0.7081, Validation Loss: 1.9084
Epoch 67/1000, Train Loss: 0.6818, Validation Loss: 1.3029
Epoch 68/1000, Train Loss: 0.7000, Validation Loss: 1.2607
Epoch 69/1000, Train Loss: 0.7331, Validation Loss: 0.8904
Epoch 70/1000, Train Loss: 0.7504, Validation Loss: 1.7899
Epoch 71/1000, Train Loss: 0.8417, Validation Loss: 2.2610
Epoch 72/1000, Train Loss: 0.8085, Validation Loss: 2.3484
Epoch 73/1000, Train Loss: 0.7215, Validation Loss: 1.5272
Epoch 74/1000, Train Loss: 0.6668, Validation Loss: 0.8194
Epoch 75/1000, Train Loss: 0.7316, Validation Loss: 1.0237
Epoch 76/1000, Train Loss: 0.7634, Validation Loss: 1.3028
Epoch 77/1000, Train Loss: 0.8372, Validation Loss: 2.5464
Epoch 78/1000, Train Loss: 0.7370, Validation Loss: 4.5663
Epoch 79/1000, Train Loss: 0.7012, Validation Loss: 1.2266
Epoch 80/1000, Train Loss: 0.6922, Validation Loss: 1.1396
Epoch 81/1000, Train Loss: 0.7177, Validation Loss: 0.6998
Epoch 82/1000, Train Loss: 0.7146, Validation Loss: 0.7496
Epoch 83/1000, Train Loss: 0.7461, Validation Loss: 0.7884
Epoch 84/1000, Train Loss: 0.7758, Validation Loss: 1.4698
Epoch 85/1000, Train Loss: 0.7122, Validation Loss: 0.9047
Epoch 86/1000, Train Loss: 0.6942, Validation Loss: 1.7861
Epoch 87/1000, Train Loss: 0.7156, Validation Loss: 0.7300
Epoch 88/1000, Train Loss: 0.7129, Validation Loss: 1.2249
Epoch 89/1000, Train Loss: 0.7319, Validation Loss: 1.6051
Epoch 90/1000, Train Loss: 0.7440, Validation Loss: 1.6417
Epoch 91/1000, Train Loss: 0.6742, Validation Loss: 0.6754
Epoch 92/1000, Train Loss: 0.6519, Validation Loss: 1.7257
Epoch 93/1000, Train Loss: 0.7375, Validation Loss: 0.7497
Epoch 94/1000, Train Loss: 0.6471, Validation Loss: 0.7626
Epoch 95/1000, Train Loss: 0.6278, Validation Loss: 0.9169
Epoch 96/1000, Train Loss: 0.6187, Validation Loss: 1.9541
Epoch 97/1000, Train Loss: 0.6040, Validation Loss: 1.0789
Epoch 98/1000, Train Loss: 0.6604, Validation Loss: 2.6832
Epoch 99/1000, Train Loss: 0.7550, Validation Loss: 1.3686
Epoch 100/1000, Train Loss: 0.7523, Validation Loss: 0.7720
Epoch 101/1000, Train Loss: 0.7211, Validation Loss: 0.8495
Epoch 102/1000, Train Loss: 0.6529, Validation Loss: 1.9701
Epoch 103/1000, Train Loss: 0.6361, Validation Loss: 0.9806
Epoch 104/1000, Train Loss: 0.6364, Validation Loss: 0.7005
Epoch 105/1000, Train Loss: 0.6296, Validation Loss: 1.8567
Epoch 106/1000, Train Loss: 0.6107, Validation Loss: 1.3279
Epoch 107/1000, Train Loss: 0.6847, Validation Loss: 1.2681
Epoch 108/1000, Train Loss: 0.7028, Validation Loss: 0.9604
Epoch 109/1000, Train Loss: 0.6986, Validation Loss: 1.3452
Epoch 110/1000, Train Loss: 0.6987, Validation Loss: 1.9417
Epoch 111/1000, Train Loss: 0.7474, Validation Loss: 2.0372
Epoch 112/1000, Train Loss: 0.6379, Validation Loss: 0.7318
Epoch 113/1000, Train Loss: 0.6877, Validation Loss: 0.9039
Epoch 114/1000, Train Loss: 0.6787, Validation Loss: 2.1326
Epoch 115/1000, Train Loss: 0.6349, Validation Loss: 1.2784
Epoch 116/1000, Train Loss: 0.6605, Validation Loss: 1.0110
Epoch 117/1000, Train Loss: 0.6228, Validation Loss: 2.0138
Epoch 118/1000, Train Loss: 0.6095, Validation Loss: 0.6041
Epoch 119/1000, Train Loss: 0.6942, Validation Loss: 2.5375
Epoch 120/1000, Train Loss: 0.6457, Validation Loss: 1.5957
Epoch 121/1000, Train Loss: 0.6900, Validation Loss: 1.8900
Epoch 122/1000, Train Loss: 0.6652, Validation Loss: 0.9581
Epoch 123/1000, Train Loss: 0.6072, Validation Loss: 2.3169
Epoch 124/1000, Train Loss: 0.6206, Validation Loss: 1.2171
Epoch 125/1000, Train Loss: 0.5705, Validation Loss: 0.8969
Epoch 126/1000, Train Loss: 0.7022, Validation Loss: 0.8155
Epoch 127/1000, Train Loss: 0.7673, Validation Loss: 1.2113
Epoch 128/1000, Train Loss: 0.6943, Validation Loss: 0.8058
Epoch 129/1000, Train Loss: 0.6343, Validation Loss: 0.9431
Epoch 130/1000, Train Loss: 0.6734, Validation Loss: 0.9859
Epoch 131/1000, Train Loss: 0.6540, Validation Loss: 1.2060
